subexperiment_id,setting_id,delay_state_coupling_beta,notes,experiment_id,seed,source_label_rate_q,proxy_noise_sigma,causal_regret_per_round,causal_regret_all_rounds,final_causal_regret,n_eval_rounds,labelled_arrivals,anonymous_arrivals,total_arrivals,labelled_arrival_fraction,min_label_arrival_gap,wrong_assignment_rate,proxy_state_error_per_round,proxy_ranking_reversal_rate,absolute_proxy_distortion_per_round,context_misclassification_rate,action_trace_sha256,proxy_observation_interface,method_id,method_display_name,information_interface,reference_role,diagnostic_only,deployable,mean_delay,pending_at_horizon,pending_fraction,source_state_mismatch,ranking_reversal_rate,arrival_time_regret,proxy_oracle_regret,source_labelled_reference_regret,oracle_normalized_recovery,oracle_normalized_recovery_denominator,source_labelled_normalized_recovery,source_labelled_normalized_recovery_denominator
recoverability_phase_map,q_0.30_sigma_0.05,2.0,,exp4_recoverability_boundary,0,0.3,0.05,0.4091282660689811,0.4197256571176515,2098.6282855882578,4750,1509,3485,4994,0.3021625951141369,1.0,0.0,0.0787471250898417,0.0048,0.0160984263873599,0.3966,34c3ea0dbe6accb4c72a3fb36dbc5109615adbe6b4817e8e26feafc20654c309,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.6171802271226542,2.639998257533541e-06,0.2715466098115454,0.3371022626130114,0.6171775871243966,0.6019436496722571,0.3456336173111088
recoverability_phase_map,q_0.30_sigma_0.10,2.0,,exp4_recoverability_boundary,0,0.3,0.1,0.4216838825803155,0.430001694928117,2150.008474640585,4750,1509,3485,4994,0.3021625951141369,1.0,0.0,0.1574942501796835,0.0666,0.0350077188086978,0.3966,edd5eaf495f27fa17da2a2188556422c2d1312cdba9d8654185d104855ccf752,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.6171802271226542,2.639998257533541e-06,0.2715466098115454,0.3167586584814444,0.6171775871243966,0.5656172743358183,0.3456336173111088
recoverability_phase_map,q_0.30_sigma_0.25,2.0,,exp4_recoverability_boundary,0,0.3,0.25,0.4372705320539899,0.4466478665560945,2233.2393327804725,4750,1509,3485,4994,0.3021625951141369,1.0,0.0,0.3937356254492087,0.3966,0.0924099468738912,0.3966,1ff5b4a3a8b6cba22cce5b611dc68c430d0671195c02fdee3841583b9452c79d,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.6171802271226542,2.639998257533541e-06,0.2715466098115454,0.2915039347214697,0.6171775871243966,0.5205214020218568,0.3456336173111088
recoverability_phase_map,q_0.30_sigma_0.50,2.0,,exp4_recoverability_boundary,0,0.3,0.5,0.4545188880815201,0.4619978517220298,2309.989258610149,4750,1509,3485,4994,0.3021625951141369,1.0,0.0,0.7874712508984175,0.628,0.1480214179355693,0.3966,ddbde756f8e649e07e2eaa164bbe4ef9b85fe5b770c789372d12f02bcdf63a10,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.6171802271226542,2.639998257533541e-06,0.2715466098115454,0.26355678241495917,0.6171775871243966,0.4706178186791384,0.3456336173111088
recoverability_phase_map,q_0.30_sigma_1.00,2.0,,exp4_recoverability_boundary,0,0.3,1.0,0.4286196037716316,0.4385609384654571,2192.804692327285,4750,1509,3485,4994,0.3021625951141369,1.0,0.0,1.574942501796835,0.7688,0.1726753698885926,0.3966,846d2627a692eb3399312977e3ab4d2992deb4ca461804f15ab77554c22dbd0c,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.6171802271226542,2.639998257533541e-06,0.2715466098115454,0.30552085377821214,0.6171775871243966,0.545550588562388,0.3456336173111088
recoverability_phase_map,q_0.50_sigma_0.05,2.0,,exp4_recoverability_boundary,0,0.5,0.05,0.3568301201062987,0.3688586728677459,1844.2933643387296,4750,2491,2503,4994,0.4987985582699239,1.0,0.0,0.0787471250898417,0.0048,0.0160984263873599,0.3966,4f3ca533d22c98d9d7574c3dc6e49e44d0fdd1a6713e916128d8ef6a4d63fc17,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.6171802271226542,2.639998257533541e-06,0.2715466098115454,0.4218398601112519,0.6171775871243966,0.7532545851349041,0.3456336173111088
recoverability_phase_map,q_0.50_sigma_0.10,2.0,,exp4_recoverability_boundary,0,0.5,0.1,0.3560359698723929,0.367882745196091,1839.4137259804552,4750,2491,2503,4994,0.4987985582699239,1.0,0.0,0.1574942501796835,0.0666,0.0350077188086978,0.3966,fa29dd051520630d81c561db6a9cc188c631bb239f2334f13a7d9341d3649292,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.6171802271226542,2.639998257533541e-06,0.2715466098115454,0.4231266052077581,0.6171775871243966,0.7555522500440179,0.3456336173111088
recoverability_phase_map,q_0.50_sigma_0.25,2.0,,exp4_recoverability_boundary,0,0.5,0.25,0.3670008763886189,0.3784893272790476,1892.4466363952383,4750,2491,2503,4994,0.4987985582699239,1.0,0.0,0.3937356254492087,0.3966,0.0924099468738912,0.3966,967b4fa70b942d8db2a712d0acaa068f8a0a10c6c8a8b543b352649aa119a638,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.6171802271226542,2.639998257533541e-06,0.2715466098115454,0.40536039537613644,0.6171775871243966,0.7238281758595432,0.3456336173111088
recoverability_phase_map,q_0.50_sigma_0.50,2.0,,exp4_recoverability_boundary,0,0.5,0.5,0.3627380003076237,0.3733668433274765,1866.8342166373827,4750,2491,2503,4994,0.4987985582699239,1.0,0.0,0.7874712508984175,0.628,0.1480214179355693,0.3966,6056494bb5037e4c251459c8dbec21078ae01e0b9be3845542c9e9454e8329de,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.6171802271226542,2.639998257533541e-06,0.2715466098115454,0.41226744477314564,0.6171775871243966,0.7361616870329025,0.3456336173111088
recoverability_phase_map,q_0.50_sigma_1.00,2.0,,exp4_recoverability_boundary,0,0.5,1.0,0.3665250969557391,0.3775269517915894,1887.6347589579475,4750,2491,2503,4994,0.4987985582699239,1.0,0.0,1.574942501796835,0.7688,0.1726753698885926,0.3966,6d08eb798e7cfe0dba863c7e9d4c4d7c524eb600dbf05855098a555f53feb9ba,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.6171802271226542,2.639998257533541e-06,0.2715466098115454,0.4061312908895276,0.6171775871243966,0.7252047185598197,0.3456336173111088
recoverability_phase_map,q_0.70_sigma_0.05,2.0,,exp4_recoverability_boundary,0,0.7,0.05,0.3122761442670326,0.325110241801078,1625.55120900539,4750,3526,1468,4994,0.7060472567080497,1.0,0.0,0.0787471250898417,0.0048,0.0160984263873599,0.3966,876593e9289fd3ded870d9aa6be5bbf0d8e85b51ba9e6749bb7edb459dec0e7f,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.6171802271226542,2.639998257533541e-06,0.2715466098115454,0.49402973992664767,0.6171775871243966,0.8821598003911,0.3456336173111088
recoverability_phase_map,q_0.70_sigma_0.10,2.0,,exp4_recoverability_boundary,0,0.7,0.1,0.3100281167678598,0.3228682717104239,1614.3413585521196,4750,3526,1468,4994,0.7060472567080497,1.0,0.0,0.1574942501796835,0.0666,0.0350077188086978,0.3966,fd78f4e94d27026d627b61fc474735045b7de2a6d56a7b76cbf8013143402b34,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.6171802271226542,2.639998257533541e-06,0.2715466098115454,0.49767217209863723,0.6171775871243966,0.8886638769235321,0.3456336173111088
recoverability_phase_map,q_0.70_sigma_0.25,2.0,,exp4_recoverability_boundary,0,0.7,0.25,0.3104010830923485,0.323278095132615,1616.390475663075,4750,3526,1468,4994,0.7060472567080497,1.0,0.0,0.3937356254492087,0.3966,0.0924099468738912,0.3966,f3a4ab8353118f7af202a80c1bd71e19386be1385dc44ceced437e21d8bbf628,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.6171802271226542,2.639998257533541e-06,0.2715466098115454,0.4970678625250728,0.6171775871243966,0.8875847969214472,0.3456336173111088
recoverability_phase_map,q_0.70_sigma_0.50,2.0,,exp4_recoverability_boundary,0,0.7,0.5,0.3122327402199278,0.325150149169487,1625.750745847435,4750,3526,1468,4994,0.7060472567080497,1.0,0.0,0.7874712508984175,0.628,0.1480214179355693,0.3966,83b6e40b421875ad9458eba57215f33bcb338ad0a52c6813810db3ac68b3e85b,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.6171802271226542,2.639998257533541e-06,0.2715466098115454,0.49410006660086636,0.6171775871243966,0.8822853785898946,0.3456336173111088
recoverability_phase_map,q_0.70_sigma_1.00,2.0,,exp4_recoverability_boundary,0,0.7,1.0,0.3237366664716365,0.3366743199982912,1683.3715999914562,4750,3526,1468,4994,0.7060472567080497,1.0,0.0,1.574942501796835,0.7688,0.1726753698885926,0.3966,c8a64086837ba904317dfff6242cb6ed4dc9d02cc901d7ec6a5f30cc1dcabd83,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.6171802271226542,2.639998257533541e-06,0.2715466098115454,0.47546049430967424,0.6171775871243966,0.849001792516281,0.3456336173111088
recoverability_phase_map,q_1.00_sigma_0.05,2.0,,exp4_recoverability_boundary,0,1.0,0.05,0.2715466098115454,0.2851474888710318,1425.7374443551594,4750,4994,0,4994,1.0,1.0,0.0,0.0787471250898417,0.0048,0.0160984263873599,0.3966,66a933e0bde3eedc7a2f236dee4fcf5ee8db1c85790e69bb62a1e00638a3e569,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.6171802271226542,2.639998257533541e-06,0.2715466098115454,0.5600229569604313,0.6171775871243966,1.0,0.3456336173111088
recoverability_phase_map,q_1.00_sigma_0.10,2.0,,exp4_recoverability_boundary,0,1.0,0.1,0.2715466098115454,0.2851474888710318,1425.7374443551594,4750,4994,0,4994,1.0,1.0,0.0,0.1574942501796835,0.0666,0.0350077188086978,0.3966,66a933e0bde3eedc7a2f236dee4fcf5ee8db1c85790e69bb62a1e00638a3e569,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.6171802271226542,2.639998257533541e-06,0.2715466098115454,0.5600229569604313,0.6171775871243966,1.0,0.3456336173111088
recoverability_phase_map,q_1.00_sigma_0.25,2.0,,exp4_recoverability_boundary,0,1.0,0.25,0.2715466098115454,0.2851474888710318,1425.7374443551594,4750,4994,0,4994,1.0,1.0,0.0,0.3937356254492087,0.3966,0.0924099468738912,0.3966,66a933e0bde3eedc7a2f236dee4fcf5ee8db1c85790e69bb62a1e00638a3e569,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.6171802271226542,2.639998257533541e-06,0.2715466098115454,0.5600229569604313,0.6171775871243966,1.0,0.3456336173111088
recoverability_phase_map,q_1.00_sigma_0.50,2.0,,exp4_recoverability_boundary,0,1.0,0.5,0.2715466098115454,0.2851474888710318,1425.7374443551594,4750,4994,0,4994,1.0,1.0,0.0,0.7874712508984175,0.628,0.1480214179355693,0.3966,66a933e0bde3eedc7a2f236dee4fcf5ee8db1c85790e69bb62a1e00638a3e569,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.6171802271226542,2.639998257533541e-06,0.2715466098115454,0.5600229569604313,0.6171775871243966,1.0,0.3456336173111088
recoverability_phase_map,q_1.00_sigma_1.00,2.0,,exp4_recoverability_boundary,0,1.0,1.0,0.2715466098115454,0.2851474888710318,1425.7374443551594,4750,4994,0,4994,1.0,1.0,0.0,1.574942501796835,0.7688,0.1726753698885926,0.3966,66a933e0bde3eedc7a2f236dee4fcf5ee8db1c85790e69bb62a1e00638a3e569,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.6171802271226542,2.639998257533541e-06,0.2715466098115454,0.5600229569604313,0.6171775871243966,1.0,0.3456336173111088
recoverability_phase_map,q_0.00_sigma_0.05,2.0,,exp4_recoverability_boundary,1,0.0,0.05,0.5476146929552771,0.5521216287477259,2760.608143738629,4750,0,4994,4994,0.0,,0.0,0.0790684639332706,0.005,0.0157831027936365,0.3866,69366ed430c8dc31edb8005de7d640d7e0849cd86675861eb98a9ff9538133e9,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3045664778659978,0.1645975170204245,0.6132363305526574,0.0,0.2741688887136372,0.1070087245780776,0.6132363305526574,0.19353564954943567,0.33906744183902016
recoverability_phase_map,q_0.00_sigma_0.10,2.0,,exp4_recoverability_boundary,1,0.0,0.1,0.5356451567218372,0.541698134519946,2708.49067259973,4750,0,4994,4994,0.0,,0.0,0.1581369278665412,0.074,0.0344889769754094,0.3866,b64402b59ca3eb8b32071a043223e18a1dfb1445efec71fe5fd6472c0c300880,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3045664778659978,0.1645975170204245,0.6132363305526574,0.0,0.2741688887136372,0.12652735978785515,0.6132363305526574,0.22883699304770846,0.33906744183902016
recoverability_phase_map,q_0.00_sigma_0.25,2.0,,exp4_recoverability_boundary,1,0.0,0.25,0.551098171718607,0.5543350793444812,2771.6753967224063,4750,0,4994,4994,0.0,,0.0,0.3953423196663531,0.3866,0.0913546678260461,0.3866,87c5ac6916d2bba4ae2f3cdc7c0e243c645fa32cc47e5c428b2d3bdb34b0d557,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3045664778659978,0.1645975170204245,0.6132363305526574,0.0,0.2741688887136372,0.101328241231322,0.6132363305526574,0.18326194487158062,0.33906744183902016
recoverability_phase_map,q_0.00_sigma_0.50,2.0,,exp4_recoverability_boundary,1,0.0,0.5,0.561237481146578,0.5642828694879709,2821.4143474398543,4750,0,4994,4994,0.0,,0.0,0.7906846393327062,0.6192,0.1457824937702572,0.3866,7ff5342b60cf4664b4ec30589e60a2b6a0dbf0fdb9295eb70755abcf465e807b,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3045664778659978,0.1645975170204245,0.6132363305526574,0.0,0.2741688887136372,0.08479414348986343,0.6132363305526574,0.15335842664235208,0.33906744183902016
recoverability_phase_map,q_0.00_sigma_1.00,2.0,,exp4_recoverability_boundary,1,0.0,1.0,0.5579548680710958,0.5613457070335324,2806.728535167662,4750,0,4994,4994,0.0,,0.0,1.5813692786654123,0.7534,0.1694672819763349,0.3866,6386e7376c48297fa9b1b0d49f126b40c3233c9c16e32349b8d9d3eb16588717,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3045664778659978,0.1645975170204245,0.6132363305526574,0.0,0.2741688887136372,0.09014707662825695,0.6132363305526574,0.1630397250226332,0.33906744183902016
recoverability_phase_map,q_0.10_sigma_0.05,2.0,,exp4_recoverability_boundary,1,0.1,0.05,0.4729568182461631,0.4814081901696514,2407.040950848257,4750,533,4461,4994,0.1067280736884261,1.0,0.0,0.0790684639332706,0.005,0.0157831027936365,0.3866,f88a3d6d848cb43ac5143b5fdd2150be118c5bccfe766713d8406b6a57aad818,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3045664778659978,0.1645975170204245,0.6132363305526574,0.0,0.2741688887136372,0.2287527749376368,0.6132363305526574,0.4137215639037826,0.33906744183902016
recoverability_phase_map,q_0.10_sigma_0.10,2.0,,exp4_recoverability_boundary,1,0.1,0.1,0.5050563104081714,0.5113462560142348,2556.731280071174,4750,533,4461,4994,0.1067280736884261,1.0,0.0,0.1581369278665412,0.074,0.0344889769754094,0.3866,307486a53cb88cb7dad2a74682ef1d834c60d9b481530d9af8ebe3cd368114a4,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3045664778659978,0.1645975170204245,0.6132363305526574,0.0,0.2741688887136372,0.17640836779352673,0.6132363305526574,0.31905163043005114,0.33906744183902016
recoverability_phase_map,q_0.10_sigma_0.25,2.0,,exp4_recoverability_boundary,1,0.1,0.25,0.5013695731319713,0.5076068107264062,2538.034053632031,4750,533,4461,4994,0.1067280736884261,1.0,0.0,0.3953423196663531,0.3866,0.0913546678260461,0.3866,4921581cfd0bc845d43ec30b7a65909910364a35937f832841876fff443f15b2,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3045664778659978,0.1645975170204245,0.6132363305526574,0.0,0.2741688887136372,0.1824203033109114,0.6132363305526574,0.3299247984824132,0.33906744183902016
recoverability_phase_map,q_0.10_sigma_0.50,2.0,,exp4_recoverability_boundary,1,0.1,0.5,0.4931909127467723,0.4992037056407327,2496.018528203664,4750,533,4461,4994,0.1067280736884261,1.0,0.0,0.7906846393327062,0.6192,0.1457824937702572,0.3866,28b74188579864aea5d620698b19309c9102d02bb07e7ed806f9715f5812cc7b,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3045664778659978,0.1645975170204245,0.6132363305526574,0.0,0.2741688887136372,0.19575718499538086,0.6132363305526574,0.3540458416024483,0.33906744183902016
recoverability_phase_map,q_0.10_sigma_1.00,2.0,,exp4_recoverability_boundary,1,0.1,1.0,0.5292937115769637,0.5331448601432458,2665.7243007162288,4750,533,4461,4994,0.1067280736884261,1.0,0.0,1.5813692786654123,0.7534,0.1694672819763349,0.3866,243ecbc9b89403d43b1b5c3af12ddc78507494094d3a01f6cd74515b98c9b112,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3045664778659978,0.1645975170204245,0.6132363305526574,0.0,0.2741688887136372,0.13688461494126314,0.6132363305526574,0.24756909280469133,0.33906744183902016
recoverability_phase_map,q_0.30_sigma_0.05,2.0,,exp4_recoverability_boundary,1,0.3,0.05,0.4230906549977618,0.4322275461003033,2161.1377305015167,4750,1575,3419,4994,0.3153784541449739,1.0,0.0,0.0790684639332706,0.005,0.0157831027936365,0.3866,e3ca878faad7a1708834b32770612738cdc5ba0c0f7cf11c8a9803eb371d653a,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3045664778659978,0.1645975170204245,0.6132363305526574,0.0,0.2741688887136372,0.31006916270523893,0.6132363305526574,0.5607901322627475,0.33906744183902016
recoverability_phase_map,q_0.30_sigma_0.10,2.0,,exp4_recoverability_boundary,1,0.3,0.1,0.4332560001445638,0.4410829566048841,2205.414783024421,4750,1575,3419,4994,0.3153784541449739,1.0,0.0,0.1581369278665412,0.074,0.0344889769754094,0.3866,6a44d426a3790358b193247ea22bfb088e55136c15cbd58e6f42e0edb4ba82b6,simulator_emitted,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,2.0,6,0.0012,0.3045664778659978,0.1645975170204245,0.6132363305526574,0.0,0.2741688887136372,0.2934926087074664,0.6132363305526574,0.5308098277791686,0.33906744183902016
